INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320001', 'KH43443', '2021-04-30 23:38:30', '12247080')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320002', 'KH30905', '2021-04-01 09:51:37', '116548230')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320003', 'KH38715', '2020-06-07 01:39:01', '41343810')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320004', 'KH67922', '2021-04-09 16:56:55', '32360400')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320005', 'KH59185', '2021-05-03 09:30:32', '165644370')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320006', 'KH75650', '2020-05-10 20:39:37', '140160450')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320007', 'KH95873', '2021-06-20 12:59:32', '70883190')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320008', 'KH72055', '2021-04-22 15:18:20', '70599690')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320009', 'KH22763', '2020-06-23 19:57:48', '95635140')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320010', 'KH65971', '2021-01-08 17:11:17', '58364190')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320011', 'KH85939', '2020-05-30 01:50:04', '78311520')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320012', 'KH37846', '2021-05-06 00:28:24', '78283560')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320013', 'KH29709', '2021-06-21 13:24:20', '66194100')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320014', 'KH49277', '2021-01-10 21:36:21', '102558420')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320015', 'KH34539', '2020-06-08 04:05:28', '122512950')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320016', 'KH06414', '2020-10-22 17:43:50', '137108640')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320017', 'KH83161', '2020-11-19 22:02:28', '116848860')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320018', 'KH80938', '2020-07-01 20:57:59', '110436960')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320019', 'KH75956', '2021-02-21 09:32:08', '176933400')
INSERT INTO HoaDon (MaHD, MaKH, NgayLap, TongTien) VALUES ('HD320020', 'KH91756', '2021-04-14 22:43:32', '49126140')
